t,f,ferr,mask
2935.105259,1.000230362,6.9297E-05,FALSE
2935.12569,1.000331945,6.93387E-05,FALSE
2935.146122,1.000293117,6.94411E-05,FALSE
2935.166554,1.000104514,6.95121E-05,FALSE
2935.186985,1.00003904,6.95605E-05,FALSE
2935.207417,1.000091867,6.96619E-05,FALSE
2935.227848,0.999964945,6.93023E-05,TRUE
2935.24828,1.00023152,6.90458E-05,FALSE
2935.268712,1.000124472,6.91006E-05,FALSE
2935.289143,1.000238433,6.91597E-05,FALSE
2935.309575,1.000149091,6.92117E-05,FALSE
2935.330007,1.000056864,6.92606E-05,FALSE
2935.350438,1.000177854,6.93346E-05,FALSE
2935.37087,1.000030054,6.94142E-05,FALSE
2935.391301,1.000280143,6.94799E-05,FALSE
2935.411733,1.000259032,6.95582E-05,FALSE
2935.432165,1.000175181,6.96483E-05,FALSE
2935.452596,1.000450885,6.97456E-05,FALSE
2935.473028,0.999866913,6.89172E-05,TRUE
2935.493459,1.000085778,6.8811E-05,FALSE
2935.513891,1.000295966,6.88481E-05,FALSE
2935.534323,1.000497147,6.89115E-05,FALSE
2935.554754,1.000171333,6.89298E-05,FALSE
2935.575186,1.000091741,6.89665E-05,FALSE
2935.595617,0.999922319,6.90127E-05,FALSE
2935.616049,0.999627162,6.90577E-05,FALSE
2935.636481,0.999772929,6.91059E-05,FALSE
2935.656912,0.999986279,6.91521E-05,FALSE
2935.677344,1.000089594,6.92037E-05,FALSE
2935.697776,1.000112533,6.92583E-05,FALSE
2935.718207,1.000003063,6.93095E-05,FALSE
2935.738639,1.000127981,6.93808E-05,FALSE
2935.75907,0.999740945,6.94603E-05,FALSE
2935.779502,0.999200942,6.95212E-05,FALSE
2935.799934,0.999308204,6.96339E-05,FALSE
2935.820365,0.999144214,6.97475E-05,FALSE
2935.840797,0.999364143,6.98767E-05,FALSE
2935.861228,0.999916519,7.0029E-05,FALSE
2935.88166,1.000011791,7.01872E-05,FALSE
2935.902092,1.001328395,7.03727E-05,TRUE
2935.922523,1.000005805,7.05042E-05,FALSE
2935.942955,1.000044532,7.07153E-05,FALSE
2935.963386,1.00017192,6.92803E-05,TRUE
2935.983818,0.999937555,6.90707E-05,FALSE
2936.00425,1.000037735,6.91379E-05,FALSE
2936.024681,1.000246771,6.9193E-05,FALSE
2936.045113,1.00010172,6.92423E-05,FALSE
2936.065544,0.999923898,6.92976E-05,FALSE
2936.085976,1.000213558,6.93746E-05,FALSE
2936.106408,1.000017984,6.94401E-05,FALSE
2936.126839,0.999980987,6.95353E-05,FALSE
2936.147271,0.99990328,6.96119E-05,FALSE
2936.167703,1.000119213,6.9706E-05,FALSE
2936.188134,0.999875753,6.98043E-05,FALSE
2936.208566,1.000102239,6.95906E-05,TRUE
2936.228997,1.000350515,6.89007E-05,FALSE
2936.249429,1.000206448,6.89576E-05,FALSE
2936.269861,1.000176781,6.90081E-05,FALSE
2936.290292,1.00022231,6.90676E-05,FALSE
2936.310724,0.999961513,6.91092E-05,FALSE
2936.331155,0.999984054,6.91641E-05,FALSE
2936.351587,1.000258973,6.92094E-05,FALSE
2936.372018,1.000207545,6.92523E-05,FALSE
2936.39245,1.000016186,6.93139E-05,FALSE
2936.412882,1.000157455,6.93752E-05,FALSE
2936.433313,1.000188977,6.94187E-05,FALSE
2936.453745,1.000092478,6.94718E-05,FALSE
2936.474177,1.000337083,6.95432E-05,FALSE
2936.494608,1.000228861,6.96161E-05,FALSE
2936.51504,1.000002593,6.97205E-05,FALSE
2936.535471,1.000002335,6.98469E-05,FALSE
2936.555903,1.000004153,6.99943E-05,TRUE
2936.576335,1.000146654,7.01998E-05,FALSE
2936.596766,1.000230765,7.04041E-05,FALSE
2936.617198,1.000046954,7.06088E-05,FALSE
2936.637629,1.000365734,7.08889E-05,FALSE
2936.658061,1.000056483,7.11637E-05,TRUE
2936.678492,1.00000035,7.14569E-05,TRUE
2936.698924,1.004216482,6.71534E-05,TRUE
2936.719356,1.000149161,6.88244E-05,FALSE
2936.739787,1.000095526,6.88588E-05,FALSE
2936.760219,1.000376975,6.89126E-05,FALSE
2936.78065,1.000313499,6.89433E-05,FALSE
2936.801082,1.00028184,6.89814E-05,FALSE
2936.821514,1.000309155,6.90026E-05,FALSE
